Strategy,Region,Fund_Name,ASX_Code,Mgmt_Fee,Benchmark,Details
Broad,Asia,abrdn Sustainable Asian Opportunities Active ETF (Managed Fund),ASAO.AX,1.18%,MSCI All Countries Asia Accumulation Index (ex Japan) (AUD unhedged),To provide investors with high capital growth over the medium to long term (3-5 years) by seeking exposure to the Asian markets (other than the Japan market).
Broad,Asia,Ellerston Asia Growth Fund (Hedge Fund),EAFZ.AX,0.95%,MSCI Asia Ex Japan (non-accumulation (AUD) Index,"An actively managed, concentrated portfolio of Asia ex-Japan listed companies that is benchmark independent and has a focus on capital growth and downside protection."
Broad,Asia,Fidelity Asia Active ETF,FASI.AX,1.16%,MSCI All Country Asia ex-Japan Index NR,To achieve returns in excess of MSCI All Country Asia ex-Japan Index NR over the medium to long term.
Broad,Asia,iShares Asia 50,IAA.AX,0.50%,S&P Asia 50,"Provides exposure to 50 of the largest Asian companies located in China, Hong Kong, Macau, Singapore, South Korea and Taiwan."
Broad,Asia,Platinum Asia Fund (Quoted Managed Hedge Fund) MF,PAXX.AX,1.10%,N/A,Provides exposure to undervalued listed investments in the Asian region (excluding Japan).
Broad,Asia,Vanguard FTSE Asia ex Japan Shares Index,VAE.AX,0.40%,"FTSE Asia Pacific ex-Japan, Aust. & NZ","Exposure to securities listed in Asia (excluding Japan, Australia and New Zealand)."
Country,Asia,BetaShares India Quality,IIND.AX,0.80%,Solactive India Quality Select Index,"Tracks the 30 highest quality Indian companies based on a combined ranking of the following key factors – high profitability, low leverage and high earnings stability."
Country,Asia,BetaShares WisdomTree Japan (Currency Hedged),HJPN.AX,0.56%,WisdomTree Japan Hedged Equity,The Index provides exposure to the Japanese equity market.
Country,Asia,ETFS Reliance India Nifty 50,NDIA.AX,0.80%,NSE Nifty50,Tracks 50 of the largest and most liquid blue-chip companies listed on the National Stock Exchange of India (NSE).
Country,Asia,Fidelity India Active ETF,FIIN.AX,1.20%,MSCI India Index NR,A diversified portfolio of typically 40 to 60 Indian companies.
Country,Asia,iShares China Large-Cap,IZZ.AX,0.74%,FTSE China 50,Tracks the performance of the 50 largest companies in the Chinese equity market that are available to international investors.
Country,Asia,iShares MSCI Japan,IJP.AX,0.49%,MSCI Japan,The fund seeks to track the investment results of an index composed of Japanese equities.
Country,Asia,iShares MSCI South Korea Capped,IKO.AX,0.59%,MSCI Korea 25/50,"Aims to track the investment results of an index composed of large, mid and small-capitalisation South Korean equities."
Country,Asia,VanEck Vectors ChinaAMC A-Share,CETF.AX,0.60%,FTSE China A50,Tracks 50 of the largest and most liquid stocks in the mainland Chinese market.
Yield,Australia,Active Australian Hybrids Fund (MF),HBRD.AX,0.55%,N/A,"Monthly income from a diversified portfolio of hybrid securities, actively managed with the aim of reducing the volatility and risk associated with owning hybrids directly."
Yield,Australia,BetaShares Australian Dividend Harvester Fund (managed fund),HVST.AX,0.90%,N/A,"Exposure to large capitalisation Australian shares along with regular franked dividend income, paid monthly, that is at least double the annual income yield of the broad Australian sharemarket."
Yield,Australia,BetaShares Australian Top 20 Equity Yield Maximiser Fund (managed fund),YMAX.AX,0.76%,S&P/ASX 20,Exposure to all S&P/ASX 20 shares while providing attractive quarterly income that exceeds the dividend yield of a portfolio of the underlying shares.
Yield,Australia,BetaShares Legg Mason Equity Income Fund (MF),EINC.AX,0.85%,N/A,"Aims for an income stream paid quarterly, from an actively managed portfolio of high-yielding Australian shares."
Yield,Australia,BetaShares Legg Mason Real Income Fund (MF),RINC.AX,0.85%,N/A,"Portfolio of listed Australian assets such as A-REITs, utilities and infrastructure securities."
Yield,Australia,eInvest Income Generator Fund (MF),EIGA.AX,0.80%,S&P/ASX 300 Franking Credit Adjusted Total Return Index (Tax-Exempt),"Aims to provide a regular, monthly income, and gross yield above that provided by the benchmark index."
Yield,Australia,ETFS S&P/ASX 300 High Yield Plus,ZYAU.AX,0.35%,S&P/ASX 300 Shareholder Yield,Covers the top 40 stocks with the highest shareholder yields in the past one year from the S&P/ASX 300 Index.
Yield,Australia,IML Concentrated Australian Share Fund,IMLC.AX,0.99%,S&P/ASX 300 Accumulation Index,"The Concentrated Australian Fund is a high conviction active ETF (quoted managed fund) that invests in a select group of high-quality, undervalued companies listed on the ASX, typically above A$500 million in market cap. IMLC also has a performance fee of: 10.25% (includes net effect of GST) of investment returns made in excess of 2% above the Benchmark."
Yield,Australia,Intelligent Investor Aus Equity Income Fund (MF),INIF.AX,0.97%,N/A,Seeks a total return of 1% above the S&P/ASX Accumulation Index using a value investing approach.
Yield,Australia,iShares S&P/ASX Dividend Opportunities,IHD.AX,0.30%,S&P/ASX Dividend Opportunities Accumulation,"Seeks to provide exposure to high yielding common stocks from Australia while meeting diversification, stability and tradability requirements."
